name,rating,genre,release_date,runtime,director,url
Captain Marvel,70,"Action, Adventure, Science Fiction",03/08/2019,2h 4m,Brie Larson,https://www.themoviedb.org/movie/299537
Ajeeb Daastaans,70,"Drama, Romance",04/16/2021,2h 22m,Konkona Sen Sharma,https://www.themoviedb.org/movie/802403
Yes Day,70,"Comedy, Family",03/12/2021,1h 26m,Jennifer Garner,https://www.themoviedb.org/movie/638597
The Rental,56.0,"Horror, Thriller, Drama",07/24/2020,1h 28m,Dan Stevens,https://www.themoviedb.org/movie/587496
The Scientist,65.0,,(US),1h 33m,Robb Hudspeth,https://www.themoviedb.org/movie/715658
Star Wars: The Rise of Skywalker,65.0,"Action, Adventure, Science Fiction",12/20/2019,2h 22m,Carrie Fisher,https://www.themoviedb.org/movie/181812
The Amityville Harvest,88.0,Horror,10/20/2020,1h 38m,Sadie Katz,https://www.themoviedb.org/movie/732472
Our Friend,71.0,"Drama, Comedy, Romance",01/22/2021,2h 4m,Casey Affleck,https://www.themoviedb.org/movie/583903
Hotel Transylvania 3: Summer Vacation,69.0,"Family, Fantasy, Comedy, Animation",07/13/2018,1h 37m,Adam Sandler,https://www.themoviedb.org/movie/400155
The Kill Team,67.0,"Drama, Action, Thriller",10/17/2019,1h 27m,Nat Wolff,https://www.themoviedb.org/movie/489245
Time to Hunt,73.0,"Drama, Action, Thriller",04/10/2020,2h 15m,Lee Je-hoon,https://www.themoviedb.org/movie/571785
Psycho-Pass 3: First Inspector,73.0,"Fiction, Action, Crime, Animation",(JP),2h 17m,Takahiro Sakurai,https://www.themoviedb.org/movie/655431
The Last Thing He Wanted,50,"Drama, Thriller",02/14/2020,1h 56m,Anne Hathaway,https://www.themoviedb.org/movie/505225
Black and Blue,67.0,"Action, Thriller",10/25/2019,1h 49m,Naomie Harris,https://www.themoviedb.org/movie/578189
A Quiet Place Part II,0,"Drama, Science Fiction, Thriller",05/28/2021,1h 37m,Emily Blunt,https://www.themoviedb.org/movie/520763
Boruto: Naruto the Movie,77.0,"Action, Comedy, Animation",08/07/2015,1h 40m,Yuko Sanpei,https://www.themoviedb.org/movie/347201
